customer_id,customer_name,customer_segment,signup_date,city,state
C001,Apex Industries,Corporate,2023-01-15,New York,NY
C002,BrightMart,Retail,2023-02-20,Chicago,IL
C003,Metro Health,Healthcare,2023-03-10,Boston,MA
C004,GreenFoods,Retail,2023-04-05,Seattle,WA
C005,NorthStar Logistics,Corporate,2023-05-18,Dallas,TX
C006,Urban Fitness,Small Business,2023-06-22,Denver,CO
C007,Silverline Finance,Corporate,2023-07-11,Charlotte,NC
C008,BlueWave Energy,Energy,2023-08-30,Houston,TX
C009,Campus Cafe,Small Business,2023-09-14,Rochester,NY
C010,PrimeCare Clinic,Healthcare,2023-10-02,Atlanta,GA
