transaction_id,customer_id,product_id,location_id,transaction_date,quantity,unit_price,total_amount,payment_status
T001,C001,P001,L001,2024-01-05,2,1200,2400,Paid
T002,C002,P003,L002,2024-01-08,1,1800,1800,Paid
T003,C003,P002,L001,2024-01-15,1,2500,2500,Paid
T004,C004,P005,L004,2024-02-02,3,1500,4500,Paid
T005,C005,P004,L003,2024-02-10,1,3000,3000,Paid
T006,C006,P006,L003,2024-02-18,2,900,1800,Pending
T007,C007,P001,L005,2024-03-03,4,1150,4600,Paid
T008,C008,P004,L003,2024-03-12,2,2950,5900,Paid
T009,C009,P005,L001,2024-03-20,1,1500,1500,Paid
T010,C010,P003,L005,2024-04-04,2,1750,3500,Paid
T011,C001,P006,L001,2024-04-15,1,900,900,Paid
T012,C002,P001,L002,2024-04-22,2,1100,2200,Paid
T013,C003,P004,L001,2024-05-01,1,3000,3000,Paid
T014,C004,P002,L004,2024-05-10,1,2400,2400,Paid
T015,C005,P003,L003,2024-05-19,2,1700,3400,Paid
T016,C006,P005,L003,2024-06-02,1,1500,1500,Pending
T017,C007,P004,L005,2024-06-14,1,2800,2800,Paid
T018,C008,P001,L003,2024-06-21,3,1200,3600,Paid
T019,C009,P006,L001,2024-07-05,2,850,1700,Paid
T020,C010,P002,L005,2024-07-12,1,2500,2500,Paid
T021,C001,P003,L001,2024-07-25,2,1800,3600,Paid
T022,C002,P004,L002,2024-08-03,1,2900,2900,Paid
T023,C003,P001,L001,2024-08-16,2,1200,2400,Paid
T024,C004,P006,L004,2024-08-28,1,900,900,Paid
T025,C005,P005,L003,2024-09-09,2,1450,2900,Paid
T026,C006,P002,L003,2024-09-18,1,2500,2500,Paid
T027,C007,P003,L005,2024-10-01,3,1750,5250,Paid
T028,C008,P004,L003,2024-10-11,1,3000,3000,Paid
T029,C009,P001,L001,2024-10-24,1,1150,1150,Paid
T030,C010,P006,L005,2024-11-05,2,900,1800,Pending
T031,C001,P004,L001,2024-11-18,1,3000,3000,Paid
T032,C002,P005,L002,2024-12-02,2,1500,3000,Paid
T033,C003,P006,L001,2024-12-14,1,800,800,Paid
T034,C004,P003,L004,2024-12-22,2,1800,3600,Paid
T035,C005,P001,L003,2024-12-29,3,1100,3300,Paid
